,Question,Option A,Option B,Option C,Option D,Right Answer,Explanation
0,Which section of the Income Tax Act deals with the tax payable by persons resident in Canada?,Section 4,Section 2,Section 7,Section 6,B,Section 2 of the Income Tax Act specifies the tax payable by persons resident in Canada  ^1^ .  
1,"What is the definition of ""taxable income"" under the Income Tax Act?",Income after deductions,Total income before deductions,Income after business expenses,Net profit,C,The taxable income is defined as income after business expenses  ^1^ .  
2,Which section of the Income Tax Act includes income from office or employment?,Section 4,Section 3,Section 5,Section 6,C,Section 5 of the Income Tax Act includes income from office or employment  ^1^ .  
3,Under which section of the Income Tax Act are amounts to be included as income from office or employment?,Section 6,Section 7,Section 8,Section 9,A,Section 6 of the Income Tax Act lists amounts to be included as income from office or employment  ^1^ .  
4,"When calculating income for a taxation year, which section of the Income Tax Act provides the basic rules?",Section 3,Section 4,Section 2,Section 6,A,Section 3 of the Income Tax Act provides the basic rules for calculating income for a taxation year  ^1^ .  
5,Which section of the Income Tax Act pertains to the issuance of securities to employees?,Section 8,Section 9,Section 7,Section 10,C,Section 7 of the Income Tax Act pertains to the issuance of securities to employees  ^1^ .  
6,What type of income does Section 4 of the Income Tax Act address?,Income from employment,Income from a source or sources in a place,Business income,Capital gains,B,Section 4 of the Income Tax Act addresses income or loss from a source or from sources in a place  ^1^ .  
7,Which part of the Income Tax Act deals with surtaxes on individual income?,Part I.1,Part I.2,Part I.3,Part II,A,Part I.1 of the Income Tax Act deals with surtaxes on individual income  ^2^ .  
8,Which section of the Income Tax Act provides definitions related to the tax on large corporations?,Section 179,Section 181,Section 180,Section 182,B,Section 181 of the Income Tax Act provides definitions related to the tax on large corporations  ^2^ .  
9,Under which section of the Income Tax Act is the tax payable by large corporations determined?,Section 181,Section 181.1,Section 181.2,Section 181.3,B,Section 181.1 of the Income Tax Act determines the tax payable by large corporations  ^2^ .  
10,What does Section 94 of the Income Tax Act pertain to?,Income from employment,Income from business,Shareholders of corporations not resident in Canada,Capital gains,C,Section 94 of the Income Tax Act pertains to shareholders of corporations not resident in Canada  ^3^ .  
11,Which section of the Income Tax Act addresses the computation of income for shareholders of corporations not resident in Canada?,Section 92,Section 94,Section 93,Section 95,B,Section 94 addresses the computation of income for shareholders of corporations not resident in Canada  ^3^ .  
12,What is the main focus of Division B in Part I of the Income Tax Act?,Income inclusion,Computation of Income,Exemptions,Deductions,B,Division B in Part I of the Income Tax Act focuses on the computation of income  ^1^ .  
13,"How does the Income Tax Act define a ""resident portion"" in relation to trusts?",Income earned within Canada,Income earned outside Canada,Property held in Canada,Property substituted for assets in Canada,D,"The ""resident portion"" includes property substituted for assets in Canada  ^3^ .  "
14,Which section of the Income Tax Act deals with the tax on Old Age Security benefits?,Section 180,Section 180.2,Section 181,Section 182,B,Section 180.2 of the Income Tax Act deals with the tax on Old Age Security benefits  ^2^ .  
15,How does the Income Tax Act categorize income from a Roth IRA under Section 94?,Exempt income,Taxable income,Capital gains,Foreign income,A,Income from a Roth IRA is categorized as exempt income under Section 94  ^4^ .  
16,Which section of the Income Tax Act includes the rules for tax on deferred stock option benefits?,Section 180,Section 180.01,Section 180.2,Section 181,B,Section 180.01 includes the rules for tax on deferred stock option benefits  ^2^ .  
17,Which section of the Income Tax Act covers the election for special tax and relief for deferral of stock option benefits?,Section 180.01,Section 180.02,Section 180.1,Section 180.2,A,Section 180.01 covers the election for special tax and relief for deferral of stock option benefits  ^2^ .  
18,What is the focus of Part I.3 of the Income Tax Act?,Tax on individual income,Tax on Old Age Security benefits,Tax on large corporations,Income inclusion,C,Part I.3 focuses on the tax on large corporations  ^2^ .  
19,"Which section of the Income Tax Act defines ""exempt person""?",Section 181,Section 181.2,Section 182,Section 183,A,"Section 181 defines ""exempt person""  ^4^ .  "
20,"Under the Income Tax Act, what is the criteria for a trust to be considered a ""prescribed trust""?",Trusts created by individuals,Trusts governed by a Roth IRA,Trusts with less than $1 million in assets,Trusts with taxable income,B,"A trust governed by a Roth IRA is considered a ""prescribed trust""  ^4^ .  "
21,Which section of the Income Tax Act includes provisions for the capital cost allowance (CCA)?,Section 20,Section 18,Section 19,Section 17,A,Section 20 includes provisions for the capital cost allowance (CCA) [general knowledge].  
22,"What does the term ""UCC balance"" refer to in the context of the Income Tax Act?",Unused Capital Costs,Undepreciated Capital Cost,Unreported Capital Costs,Undeclared Capital Costs,B,"The term ""UCC balance"" refers to the Undepreciated Capital Cost [general knowledge].  "
23,What is the purpose of the capital cost allowance (CCA) under the Income Tax Act?,To defer income tax,To reduce taxable income,To amortize the cost of assets over time,To report capital gains,C,The purpose of the CCA is to amortize the cost of assets over time [general knowledge].  
24,"In the context of dividends, what does Section 83(1) of the Income Tax Act allow?",Deferral of dividend payments,Tax-free capital dividends,Reinvestment of dividends,Dividend income splitting,B,Section 83(1) allows for tax-free capital dividends [general knowledge].  
25,Which section of the Income Tax Act addresses taxable benefits provided to employees?,Section 6,Section 7,Section 8,Section 9,A,Section 6 addresses taxable benefits provided to employees [general knowledge].  
26,"Under the Income Tax Act, what is considered ""unreported income""?",Income not declared to the CRA,Income from foreign sources,Income from investments,Income below the taxable threshold,A,Unreported income refers to income not declared to the CRA [general knowledge].  
27,What is the distinction between capital gains and income under the Income Tax Act?,Capital gains are taxed at a higher rate,"Income is fully taxable, capital gains are partially taxable",Capital gains are tax-free,Income is tax-free,B,"Income is fully taxable, while capital gains are partially taxable [general knowledge].  "
28,Which section of the Income Tax Act provides rules for carrying back capital losses?,Section 111,Section 112,Section 113,Section 114,A,Section 111 provides rules for carrying back capital losses [general knowledge].  
